method_id	run_id	seed	commit	validation_loss	n_runs	validation_loss_mean	validation_loss_std	delta	p_at_l	train_loss	training_seconds	actual_steps	model_tokens_M	params_M	memory_GB	evaluation_seconds	status	description
r16_geglu	r16_geglu-seed43-kn056-20260906T032028Z	43	NA	2.6123678386211395	2	2.6013420447707176	0.015592827199196527	-0.006970113143324852	0.10235221509343505	2.6450966095924375	3600.357679302804	10349	626.093633	170.671168	19.04393720626831	378.3904860392213	discard	GEGLU replaces SwiGLU in all 24 FFNs with identical matrices and initialization on accepted R10.
r17_muonscale	r17_muonscale-seed42-kn081-20260906T043559Z	42	NA	2.579673022031784	2	2.5908984672278166	0.0158751768399051	0.003473464399576187	0.10516094944375481	2.644584357738495	3600.036589389667	10375	627.332485	170.671168	18.82713556289673	240.98081444203854	discard	Double native Muon update amplitude while preserving per-step weight shrinkage and AdamW rates on accepted R10.
r17_muonscale	r17_muonscale-seed43-kn056-20260906T043559Z	43	NA	2.602123912423849	2	2.5908984672278166	0.0158751768399051	0.003473464399576187	0.10022758362063318	2.643554298877716	3600.3018460269086	10339	625.485368	170.671168	19.04393720626831	268.12017977796495	discard	Double native Muon update amplitude while preserving per-step weight shrinkage and AdamW rates on accepted R10.
r18_tokendrop	r18_tokendrop-seed42-kn081-20260906T055353Z	42	NA	2.579772222787142	2	2.591290893033147	0.01628985968240379	0.0030810385942459106	0.10803366055835385	2.6475074005126955	3600.268575305119	10363	626.610769	170.671168	18.827216625213623	447.02537436410785	discard	Apply ESM-2-style zero mask embeddings with per-sequence visible-fraction rescaling adapted to 15% mask-all corruption on accepted R10.
r18_tokendrop	r18_tokendrop-seed43-kn056-20260906T055353Z	43	NA	2.602809563279152	2	2.591290893033147	0.01628985968240379	0.0030810385942459106	0.11281978530497391	2.643714277744293	3600.06853107037	10337	625.361198	170.671168	19.04401969909668	393.11980106681585	discard	Apply ESM-2-style zero mask embeddings with per-sequence visible-fraction rescaling adapted to 15% mask-all corruption on accepted R10.
r19_bertcorrupt	r19_bertcorrupt-seed42-kn081-20260906T071239Z	42	NA	2.6136374175548553	2	2.6157104708254337	0.0029317400507738525	-0.021338539198040962	0.10253929271035707	2.4895182061195373	3600.0736339781433	10363	626.610769	170.671168	18.827197551727295	252.98448393912986	discard	Replace the same selected MLM targets with 80% mask, 10% uniform canonical amino acid and 10% original residue using an independent RNG, on accepted R10.
r19_bertcorrupt	r19_bertcorrupt-seed43-kn056-20260906T071239Z	43	NA	2.617783524096012	2	2.6157104708254337	0.0029317400507738525	-0.021338539198040962	0.10605230938619957	2.493269908428192	3600.0182179808617	10318	624.213855	170.671168	19.043967723846436	246.27857421385124	discard	Replace the same selected MLM targets with 80% mask, 10% uniform canonical amino acid and 10% original residue using an independent RNG, on accepted R10.
r20_lastsubset	r20_lastsubset-seed42-kn081-20260906T083724Z	42	NA	2.5916405580937862	2	2.595495877787471	0.005452245398092816	-0.0011239461600780487	0.10845685666234665	2.646087830066681	3600.280378098134	10552	638.024468	170.671168	18.570623874664307	279.985049393028	discard	Compute the final FFN and prediction head only at supervised MLM positions, retaining all attention context and the accepted R10 objective.
r20_lastsubset	r20_lastsubset-seed43-kn056-20260906T083724Z	43	NA	2.5993511974811554	2	2.595495877787471	0.005452245398092816	-0.0011239461600780487	0.10507654510404775	2.6462883591651916	3600.095800722018	10494	634.866053	170.671168	18.55209732055664	272.08055010577664	discard	Compute the final FFN and prediction head only at supervised MLM positions, retaining all attention context and the accepted R10 objective.
r21_batch32	r21_batch32-seed42-kn081-20260906T095440Z	42	NA	2.601979225873947	2	2.59766005910933	0.006108224216672435	-0.0032881274819374084	0.11042849378849146	2.643323941230774	3600.1145316991024	19417	586.979363	170.671168	11.099594116210938	228.97921326337382	discard	Halve per-rank microbatch from64 to32 (global batch128), retaining accumulation1 and the accepted R10 model, loss and per-step optimizer recipe.
